Source,Target,Type,Id,Label,Weight,0
5916.0,6925.0,Undirected,0,,1,0
5916.0,12719.0,Undirected,1,,1,0
5916.0,18442.0,Undirected,2,,1,0
5916.0,9913.0,Undirected,3,,1,0
5916.0,18995.0,Undirected,4,,1,0
5916.0,13133.0,Undirected,5,,1,0
5916.0,7690.0,Undirected,6,,1,0
5916.0,4739.0,Undirected,7,,1,0
6925.0,5273.0,Undirected,8,,1,0
12719.0,19854.0,Undirected,9,,1,0
12719.0,7399.0,Undirected,10,,1,0
9913.0,8296.0,Undirected,11,,1,0
9913.0,9638.0,Undirected,12,,1,0
9913.0,11849.0,Undirected,13,,1,0
7690.0,932.0,Undirected,14,,1,0
7690.0,4017.0,Undirected,15,,1,0
7690.0,418.0,Undirected,16,,1,0
7690.0,11752.0,Undirected,17,,1,0
12475.0,12853.0,Undirected,18,,1,0
12475.0,1411.0,Undirected,19,,1,0
12853.0,8981.0,Undirected,20,,1,0
12039.0,12544.0,Undirected,21,,1,0
12039.0,4339.0,Undirected,22,,1,0
12544.0,997.0,Undirected,23,,1,0
8828.0,11560.0,Undirected,24,,1,0
8828.0,12119.0,Undirected,25,,1,0
11560.0,9376.0,Undirected,26,,1,0
723.0,9022.0,Undirected,27,,1,0
723.0,237.0,Undirected,28,,1,0
9022.0,2782.0,Undirected,29,,1,0
9022.0,12066.0,Undirected,30,,1,0
365.0,5703.0,Undirected,31,,1,0
365.0,19427.0,Undirected,32,,1,0
365.0,10545.0,Undirected,33,,1,0
365.0,2764.0,Undirected,34,,1,0
5703.0,17906.0,Undirected,35,,1,0
10545.0,5769.0,Undirected,36,,1,0
6490.0,12415.0,Undirected,37,,1,0
6490.0,5290.0,Undirected,38,,1,0
6490.0,17339.0,Undirected,39,,1,0
6490.0,12836.0,Undirected,40,,1,0
6490.0,18801.0,Undirected,41,,1,0
6490.0,17399.0,Undirected,42,,1,0
6490.0,16920.0,Undirected,43,,1,0
6490.0,17257.0,Undirected,44,,1,0
6490.0,625.0,Undirected,45,,1,0
6490.0,640.0,Undirected,46,,1,0
6490.0,13621.0,Undirected,47,,1,0
6490.0,13875.0,Undirected,48,,1,0
6490.0,1351.0,Undirected,49,,1,0
6490.0,12771.0,Undirected,50,,1,0
6490.0,11384.0,Undirected,51,,1,0
12415.0,8885.0,Undirected,52,,1,0
5290.0,16339.0,Undirected,53,,1,0
5290.0,17236.0,Undirected,54,,1,0
5290.0,7273.0,Undirected,55,,1,0
12836.0,2487.0,Undirected,56,,1,0
16920.0,6678.0,Undirected,57,,1,0
16920.0,8308.0,Undirected,58,,1,0
625.0,7649.0,Undirected,59,,1,0
640.0,7664.0,Undirected,60,,1,0
640.0,7715.0,Undirected,61,,1,0
640.0,21055.0,Undirected,62,,1,0
640.0,17160.0,Undirected,63,,1,0
640.0,13744.0,Undirected,64,,1,0
640.0,14124.0,Undirected,65,,1,0
640.0,3753.0,Undirected,66,,1,0
640.0,16269.0,Undirected,67,,1,0
640.0,17005.0,Undirected,68,,1,0
640.0,4889.0,Undirected,69,,1,0
640.0,17094.0,Undirected,70,,1,0
640.0,12815.0,Undirected,71,,1,0
640.0,15241.0,Undirected,72,,1,0
640.0,7543.0,Undirected,73,,1,0
640.0,20177.0,Undirected,74,,1,0
640.0,2635.0,Undirected,75,,1,0
640.0,19024.0,Undirected,76,,1,0
640.0,13153.0,Undirected,77,,1,0
640.0,56.0,Undirected,78,,1,0
640.0,16634.0,Undirected,79,,1,0
640.0,18039.0,Undirected,80,,1,0
640.0,12190.0,Undirected,81,,1,0
640.0,18050.0,Undirected,82,,1,0
640.0,13517.0,Undirected,83,,1,0
640.0,19809.0,Undirected,84,,1,0
640.0,13180.0,Undirected,85,,1,0
640.0,20652.0,Undirected,86,,1,0
640.0,14002.0,Undirected,87,,1,0
640.0,3774.0,Undirected,88,,1,0
640.0,13816.0,Undirected,89,,1,0
640.0,16370.0,Undirected,90,,1,0
640.0,5828.0,Undirected,91,,1,0
640.0,16410.0,Undirected,92,,1,0
640.0,2373.0,Undirected,93,,1,0
640.0,15708.0,Undirected,94,,1,0
640.0,12656.0,Undirected,95,,1,0
640.0,19078.0,Undirected,96,,1,0
640.0,9601.0,Undirected,97,,1,0
640.0,13332.0,Undirected,98,,1,0
640.0,5235.0,Undirected,99,,1,0
640.0,15788.0,Undirected,100,,1,0
640.0,16882.0,Undirected,101,,1,0
640.0,6221.0,Undirected,102,,1,0
640.0,1605.0,Undirected,103,,1,0
640.0,4382.0,Undirected,104,,1,0
640.0,1190.0,Undirected,105,,1,0
640.0,15119.0,Undirected,106,,1,0
640.0,9018.0,Undirected,107,,1,0
640.0,9905.0,Undirected,108,,1,0
1351.0,15131.0,Undirected,109,,1,0
4682.0,17535.0,Undirected,110,,1,0
4682.0,3240.0,Undirected,111,,1,0
5571.0,13533.0,Undirected,112,,1,0
5571.0,11715.0,Undirected,113,,1,0
